food,category,serving_size,fullness_factor,completeness_score,calories,total_carbs,dietary_fibre,starch,sugars,total_fat,saturated_fat,monosaturated_fat,polysaturated_fat,protien,water,source
"Alcoholic beverage, wine, table, white, Chenin Blanc",beverages,100,2.6,0,79.99666,3.3101254,0,0,0,0,0,0,0,0.07000633,86.76974,https://nutritiondata.self.com/facts/beverages/9210/0
"Alcoholic beverage, wine, table, white, Fume Blanc",beverages,100,2.5,0,82.00008,2.269863,0,0,0,0,0,0,0,0.07000633,86.99301,https://nutritiondata.self.com/facts/beverages/9211/0
"Alcoholic beverage, wine, table, white, Gewurztraminer",beverages,100,2.5,0,81.00518,2.600379,0,0,0,0,0,0,0,0.07000633,87.020966,https://nutritiondata.self.com/facts/beverages/9213/0
"Alcoholic beverage, wine, table, white, late harvest",beverages,100,2.2,0,112.01594,13.390952,0,0,0,0,0,0,0,0.07000633,77.76691,https://nutritiondata.self.com/facts/beverages/9217/0
"Alcoholic beverage, wine, table, white, Muller Thurgau",beverages,100,2.6,0,75.98887,3.4802816,0,0,0,0,0,0,0,0.07000633,87.27292,https://nutritiondata.self.com/facts/beverages/9212/0
"Alcoholic beverage, wine, table, white, Muscat",beverages,100,2.5,0,82.00008,5.230639,0,0,0,0,0,0,0,0.07000633,85.689445,https://nutritiondata.self.com/facts/beverages/9219/0
"Alcoholic beverage, wine, table, white, Pinot Blanc",beverages,100,2.5,0,81.00518,1.9397544,0,0,0,0,0,0,0,0.07000633,87.13285,https://nutritiondata.self.com/facts/beverages/9218/0
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",beverages,100,2.5,0,83.00719,2.0599096,0,0,0,0,0,0,0,0.07000633,86.99301,https://nutritiondata.self.com/facts/beverages/9209/0
"Alcoholic beverage, wine, table, white, Riesling",beverages,100,2.6,0,79.99666,3.7400146,0,0,0,0,0,0,0,0.07000633,86.547035,https://nutritiondata.self.com/facts/beverages/9215/0
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",beverages,100,2.5,0,81.00518,2.0500028,0,0,0,0,0,0,0,0.07000633,87.16085,https://nutritiondata.self.com/facts/beverages/9216/0
"Alcoholic beverage, wine, table, white, Semillon",beverages,100,2.5,0,82.00008,3.1200862,0,0,0,0,0,0,0,0.07000633,86.547035,https://nutritiondata.self.com/facts/beverages/9214/0
"Alfalfa seeds, sprouted, raw",vegetables and vegetable products,100,4.5,89,23.001692,2.1000168,1.9002618,0,0.18000458,0.6899491,0.069009766,0.05599966,0.40896085,3.989533,92.82516,https://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2302/0
AMARANTH FLAKES,breakfast-cereals,100,2.2,31,352.98117,71.14593,9.498653,0,0.4200384,7.000213,1.324903,2.1477962,2.7516906,15.538499,3.0001352,https://nutritiondata.self.com/facts/breakfast-cereals/7720/0
"Amaranth grain, cooked",cereal grains and pasta,100,2.4,46,101.986465,18.690977,2.1000168,16.232433,0,1.5801141,0,0,0,3.8005867,75.16343,https://nutritiondata.self.com/facts/cereal-grains-and-pasta/10640/0
"Amaranth leaves, cooked, boiled, drained, with salt",vegetables and vegetable products,100,4.5,76,21.002775,4.1105475,0,0,0,0.18000458,0.050003715,0.04099507,0.08000208,2.1101649,91.492966,https://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2779/0
"Amaranth leaves, cooked, boiled, drained, without salt",vegetables and vegetable products,100,4.5,76,21.002775,4.1105475,0,0,0,0.18000458,0.050003715,0.04099507,0.08000208,2.1101649,91.492966,https://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2304/0
"Amaranth leaves, raw",vegetables and vegetable products,100,4.5,79,23.001692,4.020417,0,0,0,0.33000058,0.09099031,0.07599341,0.1469847,2.4597552,91.69893,https://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2303/0
"Amaranth, uncooked",cereal grains and pasta,100,2,49,371.00146,65.667725,6.700931,57.27688,1.6899111,7.020484,1.4590399,1.6850296,2.7783465,13.559784,11.290825,https://nutritiondata.self.com/facts/cereal-grains-and-pasta/5676/0
